83,0,1
83,1,1-0
83,2,1-1-9
83,3,1-16-82
83,4,3-57-71
84,0,1
84,1,1-0
84,2,2-4-8
84,3,48-78-80
85,0,1
85,1,1-0
85,2,2-9
85,3,1-56
85,4,69
85,5,8-57
85,6,18-27
85,7,3-48
85,8,15-18
85,9,1-4-62
85,10,1-75-77
85,11,8-82-83
86,0,1
86,1,1-0
86,2,1-2-9
86,3,59-64
86,4,3-15-73
87,0,1
87,1,1-0
87,2,60-63
87,3,1-8-74
87,4,3-49-77
88,0,1
88,1,1-0
88,2,4-6-6
89,0,1
89,1,1-0
89,2,5-8
89,3,1-14-16
89,4,50-79-88
90,0,1
90,1,1-0
